predictor,fi_raw,fi_n,basin,cat
doc_stream_mg_l,4762649564084462e4,17.96390140859473,yakima,superlinear
no3_stream_mg_l,7979063586096583e4,30.095666217907223,yakima,superlinear
do_stream_mg_l,11036146914935783e3,4.162646284238717,yakima,superlinear
forest_3scp,32138908910992175e3,12.122247990081835,yakima,superlinear
shrub_3scp,2329886818819964e4,8.787935484922022,yakima,superlinear
human_3scp,6837954215404445e4,25.79159640220629,yakima,superlinear
d50_m,2852743621892931e3,1.076006212049181,yakima,superlinear
doc_stream_mg_l,619453374688.7892,12.528014595797229,yakima,uncertain
no3_stream_mg_l,834088029668.2601,16.86885153400526,yakima,uncertain
do_stream_mg_l,482238375918.7829,9.752936474354154,yakima,uncertain
forest_3scp,689666522854.3268,13.948026788767606,yakima,uncertain
shrub_3scp,446920282431.97546,9.03865254471902,yakima,uncertain
human_3scp,842365093024.2178,17.036249396008788,yakima,uncertain
d50_m,1029813763566.925,20.827268666347944,yakima,uncertain
doc_stream_mg_l,217276682813979.4,9.705752907556903,yakima,sub_or_linear
no3_stream_mg_l,453252544243707.4,20.246798423912097,yakima,sub_or_linear
do_stream_mg_l,271309591684501.47,12.119403813774094,yakima,sub_or_linear
forest_3scp,306476231516328.94,13.69029817931899,yakima,sub_or_linear
shrub_3scp,262335467045439.66,11.718529522155222,yakima,sub_or_linear
human_3scp,554868725790628.75,24.78599488406906,yakima,sub_or_linear
d50_m,173118860342064.78,7.733222269213632,yakima,sub_or_linear
doc_stream_mg_l,6223809872941638e5,14.214718048998243,willamette,superlinear
no3_stream_mg_l,6800711970776142e5,15.53231945874651,willamette,superlinear
do_stream_mg_l,10893897181127414e5,24.88084951915674,willamette,superlinear
forest_3scp,5531816632862124e5,12.634257045151113,willamette,superlinear
shrub_3scp,41277641378448795e4,9.42750575452572,willamette,superlinear
human_3scp,7487626431541911e5,17.101180909032113,willamette,superlinear
d50_m,2718639148329568e5,6.209169264389561,willamette,superlinear
doc_stream_mg_l,574315582536.6565,11.97856379588874,willamette,uncertain
no3_stream_mg_l,646815871638.5432,13.490710365883466,willamette,uncertain
do_stream_mg_l,513038047576.6482,10.70049145362139,willamette,uncertain
forest_3scp,812368540514.9381,16.94366074023443,willamette,uncertain
shrub_3scp,617421528263.2482,12.877629286306878,willamette,uncertain
human_3scp,689033982838.7502,14.37125819312499,willamette,uncertain
d50_m,941534340983.3917,19.637686164940114,willamette,uncertain
doc_stream_mg_l,19308487967215.96,16.086214390894163,willamette,sub_or_linear
no3_stream_mg_l,19716847479512.97,16.426425321678806,willamette,sub_or_linear
do_stream_mg_l,15341178510797.756,12.780984557293323,willamette,sub_or_linear
forest_3scp,14423308370470.193,12.01629206115489,willamette,sub_or_linear
shrub_3scp,17798414761025.23,14.828147918678756,willamette,sub_or_linear
human_3scp,16108344032863.924,13.420122592452374,willamette,sub_or_linear
d50_m,17334692228205.672,14.44181315784769,willamette,sub_or_linear
