site_no,numbers,mean,sd,min,max
12355000,54,11.485185185185186,1.2967895637329014,8.8,14
12355500,21,11.371428571428572,1.298900634052835,9.5,14.1
12358500,20,11.64,1.1454256850621083,9,13.9
12363000,41,10.846341463414634,1.5651034408267732,8.8,13.6
12367800,20,9.965,2.8178519254361487,5.9,14.7
12369000,42,10.576190476190476,1.5142911927672467,7.9,13.9
14161500,68,10.920588235294117,1.0009784502025876,9.2,13
14201300,224,8.005357142857143,2.157117296029049,1.8,12.2
14202980,327,12.295718654434252,1.0481564389927034,9.6,15.3
14203000,130,11.417692307692308,0.8698628052402112,9,13.2
14203500,194,10.611855670103093,0.9122162613976781,7.5,13.1
14206180,44,9.25909090909091,1.8388973164319289,6.1,13.3
14206500,198,9.289847715736041,1.2237440363438354,7,12.9
14206750,324,8.542592592592593,1.8732202882645739,4.8,13
14206950,564,8.707978723404254,1.9644776561107091,4.4,13.7
14211720,239,11.19163179916318,1.7669030776211958,7.5,14.8
14246900,150,11.705333333333334,1.3376723581683245,8.7,14.1
13016450,29,9.889285714285714,1.5898612298432622,7.5,13.6
13025500,23,10.731818181818182,1.1085753893801693,8.6,12.3
13055000,22,10.372727272727273,1.6347948227695464,7.1,14.2
13056500,91,9.126373626373626,1.6679218716604713,6.6,12.2
13063000,167,9.31437125748503,1.3582534607897028,6.5,12.8
13092747,209,9.438461538461539,1.0476850664744457,7.2,12.5
13095175,25,9.044,0.26153393661244045,8.6,9.5
13154500,117,9.957264957264957,0.8483570571603882,8.3,12.3
13203510,21,10.257142857142858,1.9448833971658634,7.2,14.3
13206000,43,11.05952380952381,1.73936623218435,8.2,16
13210050,65,10.5546875,1.8971097220822646,6.9,14.7
13211000,22,10.177272727272728,1.473554761915429,7.8,13
13213000,319,9.529780564263323,1.9384775558967413,6.4,15.3
13213100,129,10.47984496124031,2.20118504464645,6.7,15.7
13317000,21,10.89047619047619,1.5319610836782904,8.4,13.3
12464770,25,11.192,1.1654469814910788,9.4,13.6
12505450,189,9.133155080213903,0.9835049198828291,6.4,11.3
12510500,155,10.736129032258065,2.2811731964219053,6.4,17.3
14205400,79,11.244303797468355,0.907058762612185,8.6,13.2
12365700,29,10.106896551724137,2.442178628438545,6.4,14.4
12366080,30,10.393333333333333,1.953234864726106,7.3,14.2
