FLComID,numbers_ann,mean_ann,sd_ann,min_ann,max_ann
24320624,32,3.41625,1.3407045571927543,1.19,6.19
24320124,39,2.6923076923076925,1.123245910973291,0.97,4.95
24321248,22,2.6663636363636365,0.8026832705995764,1.38,4.05
24319206,51,2.732745098039216,0.9951061821361026,1.3,5.24
24384943,110,1.4569158878504673,0.6346034435726389,0.53,3.79
24397766,98,2.775894736842105,1.2680177986676535,1.29,7
24405981,61,2.4486440677966104,0.7994533857302635,1.8,8.1
24408449,38,2.8319444444444444,0.5599939767249769,2.1,5.3
24405889,27,4.0115384615384615,0.5428273560364644,3.6,5.8
24417464,27,3.3185185185185184,0.3616596753824246,2.6,4.1
24415760,32,3.5258064516129033,0.7839930875271303,2.3,5.8
947030172,48,1.5195652173913043,0.5615928003722552,0.8,3
24125193,47,2.1521739130434785,0.7954702677409781,0.4,4.5
24422607,41,1.6875,0.6524853864165692,0.6,3.3
23101068,33,2.653125,0.8650878661321243,2,6.6
23099846,52,2.296,0.8928194277748691,0.8,5.8
23107326,342,2.9489020771513355,1.1439945337975912,1.6,9.89
23107344,64,3.1634920634920634,1.8622135274211145,1.5,15
23099672,41,2.395,1.2046810408802864,1,6.4
947030106,288,2.185157894736842,0.9625964701878391,1.1,7.5
24416774,23,3.1782608695652175,0.4680292548540203,2.1,3.9
23123539,60,1.7832203389830508,0.7383005664874877,0.9,3.9
23123131,75,1.7322222222222223,0.7369927899626726,0.97,5
23133833,33,1.234375,0.563748614188984,0.6,2.5
24469174,45,2.5046511627906978,1.450443854623571,0.7,7.4
23141419,174,1.798092485549133,0.6540414187520579,0.86,3.68
24558135,35,1.838235294117647,0.5913593512856131,1,3.9
23156080,37,2.1297297297297297,0.8198458069339302,1,4
23162805,36,1.8736111111111111,0.3546036240067636,1.2,2.5
24491020,258,2.7321960784313726,0.975452187078331,1.28,11
24491000,44,2.0572093023255813,0.4031384352882326,1.38,3.4
23238592,34,1.0212121212121212,0.5925356401504341,0.4,2.5
23252011,34,2.772121212121212,0.762396540422689,0.9,4.3
23275628,165,1.4025625,0.38417967310415463,0.81,3.2
23559953,21,2.1965,0.7651300199106169,1.14,3.9
23460067,22,5.781818181818182,2.321665322592787,2.9,9.9
23459909,45,6.013636363636364,1.1583048779465799,4.3,8.7
23459781,46,3.5355555555555553,2.290013453270879,1.8,15
23470948,29,3.935714285714286,1.4550586817017954,2.2,8.6
23459517,128,5.107637795275591,4.485645970485013,1.3,40
23773411,323,0.815440251572327,0.32347135458808907,0.23,2
23800734,65,1.0306349206349206,0.41891516200112533,0.58,2.4
23801360,307,3.7298355263157896,1.1186019264639369,1.48,7.58
23800594,36,2.5944444444444446,1.0487937137341423,1.4,5.5
23805106,32,1.6375,0.38163485334848885,0.8,2.2
23805092,40,2.1233333333333335,0.7518130133334644,0.9,5
23805078,23,0.7818181818181819,0.4991768115382456,0.4,2.6
23804986,117,1.044298245614035,0.41692929155455954,0.42,2.62
23804876,37,4.027027027027027,1.1852446181294412,1.9,7.4
23805228,34,4.267058823529411,2.007426408193766,1.4,9
23805270,340,4.346716417910447,1.5789031932300095,1.45,9.9
23804832,29,3.5344827586206895,1.1496197700820678,1.9,6.3
24248514,26,4.0576923076923075,2.051764718855079,1.9,10
24248512,25,2.612,1.1453965834300943,1.3,5.4
24248478,28,2.5814814814814815,1.7847725640577023,0.4,10
